"Year_Q","Y","X1","X2","X3","X4","X5","X6","X7"
"1999_Sep",6.87412043333333,0.9,-1.6,0.6,1.4,68.7,105.1,18867.7
"2000_Dec",6.17185716666667,-0.7,-2.1,0.5,-0.5,73.1,110.2,19141
"2000_Jun",6.3020497,0.6,0.1,0.6,-1.7,70.2,115.1,19028.8
"2000_Mar",6.6505206,0.1,3.6,0.8,3.3,69.7,113.4,18986.7
"2000_Sep",5.98950953333333,0,0,0.7,1.4,72.9,114.6,19086
"2001_Dec",6.97947363333333,0.9,1.5,0.7,-0.2,75.4,88.9,19386.5
"2001_Jun",6.86951793333333,0.5,3.7,1,-0.5,74.5,94.4,19274.7
"2001_Mar",6.36644376666667,0.7,2,0.9,0,73.9,102.6,19225.2
"2001_Sep",6.86764543333333,0.9,0.2,0.3,1.3,74.7,89.6,19329.1
"2002_Dec",6.15766493333333,0.5,0.2,0.4,0.8,77.6,103.1,19605.4
"2002_Jun",6.40470296666667,1.4,1.8,1.5,-1.1,76.6,95.7,19495.2
"2002_Mar",6.6270913,0.5,0.7,1.1,2.1,76.1,91.7,19453.4
"2002_Sep",6.28043676666667,0,-0.3,1.1,0.3,77.1,99.8,19548.9
"2003_Dec",5.70882646666667,1.4,0.5,2,2.1,79.5,105.3,19827.2
"2003_Jun",6.05118293333333,0.1,1,0.7,0.4,78.6,105.9,19720.7
"2003_Mar",6.05599923333333,-0.1,3.2,1,1,78.6,104.8,19676.6
"2003_Sep",5.90715933333333,1.5,1.3,1.4,2,79.1,104.6,19773.4
"2004_Dec",5.11768006666667,0.5,1.6,1.2,1.2,81.5,138.4,20046
"2004_Jun",5.43576436666667,0.4,2.1,1,2.8,80.6,119.3,19932.7
"2004_Mar",5.53723966666667,0.5,1.2,1.5,3.7,80.2,110.8,19894.1
"2004_Sep",5.47956383333333,0.5,0.6,0.9,0.9,80.9,129.7,19989.7
"2005_Dec",5.00791993333333,0.4,3.7,0.7,2.6,83.8,138.2,20311.5
"2005_Jun",5.05713546666667,0.1,1.6,1.7,6.6,82.6,142.2,20176.8
"2005_Mar",5.1068754,0.4,0.8,-0.1,2.7,82.1,142.7,20126.6
"2005_Sep",4.95868006666667,0.8,-2.1,0.3,0.5,83.4,137.9,20244.7
